prime_rate_CA,unemployment_CA,consumer_price_index_CA,GDP_CA,industrial_price_index_CA, labor_participation_US,consumer_price_index_US,population_US,price_per_commodity_US,unemployment_US,prime_rate_US
6.00,14068519,109.6,1657920, 83.5, 66.1,3.05393052415283961,298910,166.800,4.7,8.25
6.00,14076740,109.8,1659196, 82.9, 66.2,4.62137039677920924,299178,167.900,4.7,8.25
6.00,14116784,109.2,1656876, 81.6, 66.1,2.10626377333666959,299452,165.400,4.5,8.25
6.00,14079425,109.0,1659594, 81.5, 66.2,3.65069704001577033,299710,162.200,4.4,8.25
6.00,14209013,109.2,1663364, 81.6, 66.3,3.02469916751934997,299950,164.600,4.5,8.25
6.00,14209455,109.4,1673956, 82.7, 66.4,2.72554654380133021,300178,165.600,4.4,8.25
6.25,14250058,109.4,1670535, 82.9, 66.4,2.96441026316891953,300398,164.000,4.6,8.25
6.25,14282523,110.2,1678760, 83.7, 66.3,4.44702564001934952,300608,166.800,4.5,8.25
6.25,14293539,111.1,1682294, 84.9, 66.2,2.68853112184252963,300823,169.300,4.4,8.25
6.25,14299912,111.6,1684443, 85.1, 65.9,2.36832536836802010,301045,171.400,4.5,8.25
6.25,14358659,112.1,1691753, 84.8, 66.0,2.35349143799752003,301278,173.300,4.4,8.25
6.25,14381801,111.9,1696447, 83.8, 66.0,3.26803173677304049,301528,173.800,4.6,8.25
6.25,14406170,112.0,1696013, 83.3, 66.0,2.82817098511783005,301790,175.100,4.7,8.25
6.25,14478752,111.7,1700841, 82.5, 65.8,2.18457280462695991,302064,172.400,4.6,8.25
6.25,14480900,111.9,1697794, 81.8, 66.0,3.70440600770083028,302334,173.500,4.7,7.75
6.25,14524844,111.6,1699351, 80.8, 65.8,3.43463052089827015,302590,174.700,4.7,7.75
6.25,14509290,111.9,1700851, 81.3, 66.0,3.47535935275699970,302834,179.000,4.7,7.50
6.00,14503015,112.0,1694291, 82.3, 66.0,2.98265388398263998,303062,178.600,5.0,7.25
5.75,14598924,111.8,1701279, 83.2, 66.2,3.28360527628441989,303280,181.000,5.0,6.50
5.75,14577601,112.2,1698189, 83.2, 66.0,2.85747436326564008,303494,182.700,4.9,6.50
5.25,14619559,112.6,1701248, 84.9, 66.1,3.04048574612399047,303707,187.900,5.1,5.25
4.75,14667016,113.5,1704814, 86.3, 65.9,2.24101388446511995,303926,190.900,5.0,5.25
4.75,14695740,114.6,1704784, 87.2, 66.1,2.46276928959309993,304157,196.600,5.4,5.00
4.75,14708296,115.4,1708170, 88.8, 66.1,4.05370089545272005,304396,200.500,5.6,5.00
