prime_rate_CA,unemployment_CA,consumer_price_index_CA,GDP_CA,industrial_price_index_CA, labor_participation_US,consumer_price_index_US,population_US,price_per_commodity_US,unemployment_US,prime_rate_US
0.3030303030303029,0.0,0.0,0.0,0.02417962003454232,0.9552238805970154,0.3656848089561577,0.0,9.393199323690027e-05,0.5757575757575758,0.2608695652173913
0.3030303030303029,0.014077118811518118,0.009302325581395324,0.009827895100306296,0.031088082901554286,1.0,0.4403100681475359,0.0038596353038476356,0.0,0.5757575757575758,0.2608695652173913
0.3030303030303029,0.01325314829175495,0.020155038759690037,0.00798961914756072,0.03972366148531936,0.9701492537313429,0.3790073928004817,0.00771927060769557,0.001315047905316448,0.5757575757575758,0.2608695652173913
0.3535353535353534,0.01605162985191853,0.029457364341085264,0.02079856870064847,0.04317789291882549,0.9850746268656724,0.3554728457623098,0.011893978181245178,0.0022543678376854676,0.595959595959596,0.2608695652173913
0.3535353535353534,0.024007422374732922,0.032558139534883734,0.02352649157170129,0.03454231433506032,0.9850746268656724,0.3247216316075898,0.01638375802449676,0.0022543678376854676,0.5858585858585859,0.2608695652173913
0.404040404040404,0.03136017713253418,0.03565891472868221,0.025572433724990833,0.031088082901554286,0.9701492537313429,0.3346008935058672,0.021050766019455665,0.0023482998309224,0.5858585858585859,0.2608695652173913
0.4545454545454544,0.04208768977982789,0.04496124031007754,0.032647830072523226,0.03454231433506032,0.9552238805970154,0.30370638120789956,0.025835926115552625,0.002630095810632996,0.5858585858585859,0.2608695652173913
0.4545454545454544,0.0614679995605489,0.05116279069767459,0.0394492053388645,0.044905008635578614,0.9701492537313429,0.3085859174249469,0.03079831436335691,0.0029118917903436918,0.5757575757575758,0.2608695652173913
0.4545454545454544,0.056489768881802564,0.05116279069767459,0.0351988065951836,0.0552677029360967,0.9850746268656724,0.3604302797847509,0.03574101059430491,0.003663347736238848,0.5757575757575758,0.2608695652173913
0.4545454545454544,0.05608613399470953,0.05581395348837215,0.04618791210681641,0.058721934369602734,0.9701492537313429,0.3119673620919356,0.0404670946398329,0.004508735675370935,0.5757575757575758,0.2608695652173913
0.4545454545454544,0.06340568847515718,0.06046511627906971,0.045247884630980784,0.05354058721934379,0.9402985074626877,0.26362056425409314,0.044759954314520754,0.004414803682134003,0.595959595959596,0.17391304347826075
0.4545454545454544,0.06222858773263818,0.05426356589147276,0.039613863746396465,0.05008635578583765,0.9253731343283583,0.39580498996857805,0.048737741719506844,0.004226939695660239,0.6060606060606061,0.17391304347826075
0.4545454545454544,0.07102444787938725,0.06821705426356586,0.04903625679830315,0.05699481865284962,0.9402985074626877,0.2960673079703768,0.05263676105706736,0.006481307533345707,0.5858585858585859,0.17391304347826075
0.4545454545454544,0.07075582745353064,0.08062015503875965,0.053753597294686796,0.06908462867012083,0.9402985074626877,0.2714023551879097,0.056457012327202315,0.008641743377794345,0.595959595959596,0.17391304347826075
0.5050505050505051,0.08370574654546065,0.08527131782945722,0.05175066293440936,0.06390328151986188,0.9253731343283583,0.16945752815096482,0.06045449174904479,0.012023295134322697,0.595959595959596,0.17391304347826075
0.5555555555555556,0.07906012228165152,0.0744186046511629,0.045589489386905394,0.03972366148531936,0.9402985074626877,0.10068286858378027,0.06468827537316357,0.007890287431899288,0.6060606060606061,0.17391304347826075
0.5555555555555556,0.08177892317616772,0.0759689922480621,0.05094703160212613,0.010362694300518194,0.9402985074626877,0.16340725033749523,0.06913867118270246,0.007796355438662255,0.6161616161616161,0.17391304347826075
0.5555555555555556,0.0861659877042266,0.0759689922480621,0.05637953025659663,0.0,0.9552238805970154,0.1690793021084879,0.0737466031270922,0.009017471350741971,0.6363636363636364,0.13043478260869557
0.5050505050505051,0.08254313319669562,0.07751937984496118,0.06600958950904749,0.015544041450777242,0.9104477611940306,0.3548238228454292,0.07851207120633287,0.008735675371031275,0.6262626262626263,0.13043478260869557
