labor_participation_US,consumer_price_index_US,population_US,price_per_commodity_US,unemployment_US,prime_rate_US
64.9,-0.28606424629804600,309095,183.300,9.9,4.25
65.2,0.45261625417847290,309289,184.400,9.9,4.25
64.9,0.27574788971957997,309485,184.800,9.6,4.25
64.6,1.26475267675238978,309691,183.500,9.4,4.25
64.6,0.63230506844271805,309913,184.100,9.4,4.25
64.7,0.43020593403721991,310146,184.900,9.5,4.25
64.6,1.53627227687154000,310385,184.900,9.5,4.25
64.4,1.12609057107202015,310612,186.600,9.4,4.25
64.6,1.31829898066591000,310820,187.700,9.8,4.25
64.3,1.39338028075399989,311020,189.700,9.3,4.25
64.2,2.27322625990495997,311204,192.700,9.1,4.25
64.1,2.81696889792589023,311373,195.800,9.0,4.25
64.2,1.74418998266394998,311551,199.200,9.0,4.25
64.2,2.24921919600375997,311740,203.100,9.1,4.25
64.1,2.30581553962389973,311935,204.100,9.0,4.25
64.0,1.92672807632472010,312147,203.900,9.1,4.25
64.0,2.53703137566649994,312372,204.600,9.0,4.25
64.1,3.17797077169900932,312605,203.200,9.0,4.25
64.2,2.49197707942445978,312842,203.700,9.0,4.25
64.1,2.02226514469577001,313060,201.100,8.8,4.25
64.1,1.84701379887521999,313260,201.400,8.6,4.25
64.0,2.37433305779156001,313454,199.800,8.5,4.25
63.7,3.19808928450254015,313636,200.700,8.3,4.25
63.8,1.68455191336783017,313811,201.600,8.3,4.25
63.8,2.42029632056173005,313993,204.200,8.2,4.75
63.7,2.28513384278916964,314176,203.700,8.2,4.75
63.7,1.73207207221012971,314368,201.900,8.2,4.75
63.8,1.92206327761143991,314576,199.800,8.2,4.75
63.7,2.08371119432122009,314796,200.100,8.2,6.25
63.5,2.42386601913445032,315031,202.700,8.1,6.25
63.6,2.28660374272893030,315264,204.400,7.8,7.00
63.8,1.87504766315374005,315485,203.500,7.8,7.00
63.6,2.07215537879355027,315692,201.800,7.7,7.75
63.7,1.79065016566901991,315877,201.500,7.9,8.25
63.7,2.74180750368704018,316038,202.500,8.0,8.25
63.4,2.45154222786008003,316191,204.300,7.7,8.25
63.3,1.21535791179702990,316357,204.000,7.5,8.50
63.4,2.08888418599399994,316535,203.500,7.6,8.50
63.4,1.95638233225289992,316729,204.100,7.5,8.50
63.4,2.13725043962468986,316934,204.300,7.5,8.50
63.3,2.00320004740069013,317156,204.400,7.3,9.00
63.3,2.14802989891619989,317397,204.200,7.2,9.00
63.2,2.23216017314455994,317635,203.900,7.2,9.00
62.8,1.16372929089216992,317864,202.500,7.2,9.00
63.0,2.60550640737741990,318076,201.200,6.9,9.00
62.9,2.84464408227172028,318276,202.000,6.7,9.00
62.9,2.40632650352187971,318464,203.800,6.6,9.00
62.9,2.35083134647024972,318642,205.700,6.7,9.00
63.1,2.85897667543570977,318827,207.000,6.7,9.00
62.8,2.21493222879675988,319020,208.300,6.2,9.00
62.9,2.54562660708071009,319225,208.000,6.3,9.00
62.8,1.31136444111866002,319438,208.300,6.1,9.00
62.9,2.40490383837574973,319670,208.000,6.2,9.00
62.9,1.75173691535098008,319919,207.000,6.1,9.00
62.8,1.93541098458713989,320166,206.400,5.9,8.50
62.9,2.42895655112680009,320403,203.400,5.7,8.50
62.9,2.25631054100233008,320616,200.900,5.8,8.25
62.8,2.38339424556420010,320815,197.000,5.6,8.00
62.9,1.94752959883825993,320997,192.000,5.7,8.00
62.7,1.95449451571832000,321164,191.100,5.5,8.00
62.6,2.43333592636742990,321344,191.500,5.4,8.00
62.8,2.96265053867684003,321538,190.900,5.4,8.00
62.9,2.50129109910949987,321740,193.400,5.6,8.00
62.7,2.97239956431091956,321954,194.800,5.3,8.00
62.6,1.92202530060316956,322186,193.900,5.2,8.00
62.6,1.63579063211564990,322427,191.900,5.1,8.00
62.4,2.99841569275872022,322670,189.100,5.0,8.00
62.5,2.28316449144805000,322901,187.500,5.0,8.00
62.5,2.26548060012650021,323113,185.700,5.1,8.00
62.7,1.83471969623818998,323318,183.500,5.0,8.00
62.7,2.70841659132004020,323509,182.600,4.8,8.00
62.8,2.53771440127247994,323687,181.300,4.9,8.00
63.0,2.22200455864591984,323871,182.100,5.0,8.00
62.9,3.82547788330950977,324061,183.200,5.1,8.00
62.7,3.28051918804040010,324260,185.300,4.8,8.00
62.7,2.10339046055212009,324476,187.600,4.9,8.00
62.8,2.49016471097935987,324697,187.700,4.8,8.00
62.9,2.74257089079208027,324924,186.600,4.9,8.00
62.9,2.49832933493122011,325155,186.900,5.0,8.00
62.8,2.01802556175075010,325368,186.700,4.9,8.00
62.7,2.45883151623452001,325562,186.300,4.7,8.00
62.7,2.03838510774881021,325742,188.200,4.7,3.75
62.8,3.43630577482942989,325901,190.700,4.7,4.00
62.9,3.29234633875322036,326050,191.600,4.6,4.00
62.9,1.91438367511723007,326207,191.500,4.4,4.00
63.0,1.55365836257900991,326371,193.000,4.4,4.00
62.8,2.11321887098435024,326548,192.800,4.4,4.00
62.8,1.89683378620466958,326743,193.600,4.3,4.25
62.9,2.12209368341407023,326939,193.500,4.3,4.25
62.9,2.27475798765204029,327140,193.800,4.4,4.25
63.1,2.87025677144829983,327342,194.800,4.3,4.25
62.7,2.42496302403465025,327528,194.900,4.2,4.25
62.7,2.42039295861358017,327699,195.900,4.2,4.50
62.7,2.95574718908234013,327848,196.300,4.1,4.50
62.7,4.17000041826154000,327969,197.900,4.0,4.75
63.0,2.01327934554866994,328085,199.300,4.1,4.75
62.9,1.96190007372538955,328219,199.300,4.0,4.75
62.9,2.93200914809487978,328364,200.300,4.0,4.75
62.9,2.98183255084012044,328521,203.200,3.8,5.00
63.0,2.63211788853712036,328692,204.200,4.0,5.00
63.0,2.11149391449984991,328863,204.300,3.8,5.00
62.6,2.29671128678510028,329040,203.400,3.8,5.00
62.8,2.33372335554622046,329216,203.600,3.7,5.25
62.9,2.60626268747923007,329379,204.600,3.8,5.25
