US_prime_rates, US_unemployment_rate, US_population, US_medianCPI, US_CIV
3.25, 9.9, 308495, 0.46081040984140598, 64.6, 178.100
3.25, 9.8, 308706, 0.68011084594070703, 64.8, 181.900
3.25, 9.8, 308904, -0.10662785426794889,64.95,181.000,
4.25, 9.9, 309095, -0.28606424629804600,64.95,183.300,
4.25, 9.9, 309289, 0.45261625417847290, 65.2, 184.400
4.25, 9.6, 309485, 0.27574788971957997, 64.9, 184.800
4.25, 9.4, 309691, 1.26475267675238978, 64.6, 183.500
4.25, 9.4, 309913, 0.63230506844271805, 64.6, 184.100
4.25, 9.5, 310146, 0.43020593403721991, 64.7, 184.900
4.25, 9.5, 310385, 1.53627227687154000, 64.6, 184.900
4.25, 9.4, 310612, 1.12609057107202015, 64.4, 186.600
4.25, 9.8, 310820, 1.31829898066591000, 64.6, 187.700
4.25, 9.3, 311020, 1.39338028075399989, 64.3, 189.700
4.25, 9.1, 311204, 2.27322625990495997, 64.2, 192.700
4.25, 9.0, 311373, 2.81696889792589023, 64.1, 195.800
4.25, 9.0, 311551, 1.74418998266394998, 64.2, 199.200
4.25, 9.1, 311740, 2.24921919600375997, 64.2, 203.100
4.25, 9.0, 311935, 2.30581553962389973, 64.1, 204.100
4.25, 9.1, 312147, 1.92672807632472010, 64.0, 203.900
4.25, 9.0, 312372, 2.53703137566649994, 64.0, 204.600
4.25, 9.0, 312605, 3.17797077169900932, 64.1, 203.200
4.25, 9.0, 312842, 2.49197707942445978, 64.2, 203.700
4.25, 8.8, 313060, 2.02226514469577001, 64.1, 201.100
4.25, 8.6, 313260, 1.84701379887521999, 64.1, 201.400
4.25, 8.5, 313454, 2.37433305779156001, 64.0, 199.800
4.25, 8.3, 313636, 3.19808928450254015, 63.7, 200.700
4.25, 8.3, 313811, 1.68455191336783017, 63.8, 201.600
4.75, 8.2, 313993, 2.42029632056173005, 63.8, 204.200
4.75, 8.2, 314176, 2.28513384278916964, 63.7, 203.700
4.75, 8.2, 314368, 1.73207207221012971, 63.7, 201.900
4.75, 8.2, 314576, 1.92206327761143991, 63.8, 199.800
6.25, 8.2, 314796, 2.08371119432122009, 63.7, 200.100
6.25, 8.1, 315031, 2.42386601913445032, 63.5, 202.700
7.00, 7.8, 315264, 2.28660374272893030, 63.6, 204.400
7.00, 7.8, 315485, 1.87504766315374005, 63.8, 203.500
7.75, 7.7, 315692, 2.07215537879355027, 63.6, 201.800
8.25, 7.9, 315877, 1.79065016566901991, 63.7, 201.500
8.25, 8.0, 316038, 2.74180750368704018, 63.7, 202.500
8.25, 7.7, 316191, 2.45154222786008003, 63.4, 204.300
8.50, 7.5, 316357, 1.21535791179702990, 63.3, 204.000
8.50, 7.6, 316535, 2.08888418599399994, 63.4, 203.500
8.50, 7.5, 316729, 1.95638233225289992, 63.4, 204.100
8.50, 7.5, 316934, 2.13725043962468986, 63.4, 204.300
9.00, 7.3, 317156, 2.00320004740069013, 63.3, 204.400
9.00, 7.2, 317397, 2.14802989891619989, 63.3, 204.200
9.00, 7.2, 317635, 2.23216017314455994, 63.2, 203.900
9.00, 7.2, 317864, 1.16372929089216992, 62.8, 202.500
9.00, 6.9, 318076, 2.60550640737741990, 63.0, 201.200
9.00, 6.7, 318276, 2.84464408227172028, 62.9, 202.000
9.00, 6.6, 318464, 2.40632650352187971, 62.9, 203.800
9.00, 6.7, 318642, 2.35083134647024972, 62.9, 205.700
9.00, 6.7, 318827, 2.85897667543570977, 63.1, 207.000
9.00, 6.2, 319020, 2.21493222879675988, 62.8, 208.300
9.00, 6.3, 319225, 2.54562660708071009, 62.9, 208.000
9.00, 6.1, 319438, 1.31136444111866002, 62.8, 208.300
9.00, 6.2, 319670, 2.40490383837574973, 62.9, 208.000
9.00, 6.1, 319919, 1.75173691535098008, 62.9, 207.000
8.50, 5.9, 320166, 1.93541098458713989, 62.8, 206.400
8.50, 5.7, 320403, 2.42895655112680009, 62.9, 203.400
8.25, 5.8, 320616, 2.25631054100233008, 62.9, 200.900
8.00, 5.6, 320815, 2.38339424556420010, 62.8, 197.000
8.00, 5.7, 320997, 1.94752959883825993, 62.9, 192.000
8.00, 5.5, 321164, 1.95449451571832000, 62.7, 191.100
8.00, 5.4, 321344, 2.43333592636742990, 62.6, 191.500
8.00, 5.4, 321538, 2.96265053867684003, 62.8, 190.900
8.00, 5.6, 321740, 2.50129109910949987, 62.9, 193.400
8.00, 5.3, 321954, 2.97239956431091956, 62.7, 194.800
8.00, 5.2, 322186, 1.92202530060316956, 62.6, 193.900
8.00, 5.1, 322427, 1.63579063211564990, 62.6, 191.900
8.00, 5.0, 322670, 2.99841569275872022, 62.4, 189.100
8.00, 5.0, 322901, 2.28316449144805000, 62.5, 187.500
8.00, 5.1, 323113, 2.26548060012650021, 62.5, 185.700
8.00, 5.0, 323318, 1.83471969623818998, 62.7, 183.500
8.00, 4.8, 323509, 2.70841659132004020, 62.7, 182.600
8.00, 4.9, 323687, 2.53771440127247994, 62.8, 181.300
8.00, 5.0, 323871, 2.22200455864591984, 63.0, 182.100
8.00, 5.1, 324061, 3.82547788330950977, 62.9, 183.200
8.00, 4.8, 324260, 3.28051918804040010, 62.7, 185.300
8.00, 4.9, 324476, 2.10339046055212009, 62.7, 187.600
8.00, 4.8, 324697, 2.49016471097935987, 62.8, 187.700
8.00, 4.9, 324924, 2.74257089079208027, 62.9, 186.600
8.00, 5.0, 325155, 2.49832933493122011, 62.9, 186.900
8.00, 4.9, 325368, 2.01802556175075010, 62.8, 186.700
8.00, 4.7, 325562, 2.45883151623452001, 62.7, 186.300
3.75, 4.7, 325742, 2.03838510774881021, 62.7, 188.200
4.00, 4.7, 325901, 3.43630577482942989, 62.8, 190.700
4.00, 4.6, 326050, 3.29234633875322036, 62.9, 191.600
4.00, 4.4, 326207, 1.91438367511723007, 62.9, 191.500
4.00, 4.4, 326371, 1.55365836257900991, 63.0, 193.000
4.00, 4.4, 326548, 2.11321887098435024, 62.8, 192.800
4.25, 4.3, 326743, 1.89683378620466958, 62.8, 193.600
4.25, 4.3, 326939, 2.12209368341407023, 62.9, 193.500
4.25, 4.4, 327140, 2.27475798765204029, 62.9, 193.800
4.25, 4.3, 327342, 2.87025677144829983, 63.1, 194.800
4.25, 4.2, 327528, 2.42496302403465025, 62.7, 194.900
4.50, 4.2, 327699, 2.42039295861358017, 62.7, 195.900
4.50, 4.1, 327848, 2.95574718908234013, 62.7, 196.300
4.75, 4.0, 327969, 4.17000041826154000, 62.7, 197.900
4.75, 4.1, 328085, 2.01327934554866994, 63.0, 199.300
4.75, 4.0, 328219, 1.96190007372538955, 62.9, 199.300
4.75, 4.0, 328364, 2.93200914809487978, 62.9, 200.300
5.00, 3.8, 328521, 2.98183255084012044, 62.9, 203.200
5.00, 4.0, 328692, 2.63211788853712036, 63.0, 204.200
5.00, 3.8, 328863, 2.11149391449984991, 63.0, 204.300
5.00, 3.8, 329040, 2.29671128678510028, 62.6, 203.400
5.25, 3.7, 329216, 2.33372335554622046, 62.8, 203.600
5.25, 3.8, 329379, 2.60626268747923007, 62.9, 204.600
5.50, 3.8, 329527, 3.72376360170077048, 62.9, 202.300
5.50, 3.9, 329659, 2.91177701505443043, 63.0, 201.000
5.50, 4.0, 329766, 2.88960472562633974, 63.1, 199.100
5.50, 3.8, 329862, 2.97821762626108999, 63.1, 199.200
5.50, 3.8, 329977, 3.21024114832287033, 63.0, 200.800
5.50, 3.7, 330103, 2.82946232379089002, 62.8, 202.100
5.50, 3.6, 330240, 2.55853514567627949, 62.9, 201.700
5.50, 3.6, 330393, 2.96310499495168989, 63.0, 200.300
5.25, 3.7, 330553, 3.20088881178510976, 63.1, 200.700
5.25, 3.6, 330729, 2.62575663098745027, 63.1, 199.200
5.00, 3.5, 330904, 2.50440284645774058, 63.2, 198.400
5.00, 3.6, 331066, 2.67072730886815002, 63.3, 198.600
5.00, 3.6, 331213, 3.27785810135185951, 63.3, 199.000
5.00, 3.6, 331345, 2.52541708194375980, 63.3, 199.000
