prime_rate_CA,unemployment_CA,consumer_price_index_CA,GDP_CA,industrial_price_index_CA
4.70,15406606,125.9,1901582, 94.9
4.70,15438786,125.7,1904250, 94.7
4.70,15474888,125.7,1900262, 94.9
4.70,15458716,125.8,1907872, 94.6
4.70,15479266,125.9,1913355, 94.0
4.70,15457532,125.4,1914614, 93.7
4.70,15460735,124.5,1917559, 92.2
2.85,15509496,124.3,1909603, 92.0
2.85,15506747,125.4,1907049, 93.8
2.85,15502098,126.3,1905988, 94.0
2.85,15540006,126.2,1905441, 93.2
2.85,15557356,126.9,1904409, 93.7
2.85,15529627,127.2,1909593, 94.2
2.70,15558622,127.3,1914406, 94.9
2.70,15524686,127.3,1918458, 94.5
2.70,15542239,127.1,1910530, 94.1
2.70,15594406,127.2,1912301, 93.7
2.70,15578974,127.1,1916787, 93.4
2.70,15601475,126.5,1918886, 93.2
2.70,15603357,126.8,1930434, 93.6
2.70,15589850,127.1,1924854, 92.7
2.70,15618512,127.9,1917766, 92.1
2.70,15667926,128.3,1922103, 91.7
2.70,15664311,128.8,1911266, 92.7
2.70,15704423,129.1,1920490, 93.5
2.70,15698459,128.9,1931887, 93.8
2.70,15682803,128.7,1936423, 93.5
2.70,15742713,128.8,1941422, 93.8
2.70,15747469,129.1,1940404, 94.6
2.70,15782077,128.6,1947701, 95.0
2.70,15833466,128.4,1953152, 95.2
2.70,15823605,129.5,1962254, 95.9
2.70,15877943,129.7,1969304, 96.1
2.70,15873136,129.9,1978060, 96.9
2.70,15893736,130.4,1987668, 97.4
2.70,15920446,130.5,1992055, 97.6
2.70,16006894,130.4,1996878, 96.5
2.95,16016009,130.4,1996019, 95.1
2.95,16062744,130.5,1994122, 95.4
3.20,16094798,130.8,1999220, 95.1
3.20,16075014,130.9,1999518, 96.1
3.20,16091352,131.3,2008970, 97.6
3.20,16135526,130.8,2014340, 97.5
3.45,16141464,131.7,2020721, 98.1
3.45,16187322,132.5,2031403, 98.3
3.45,16240028,132.9,2039914, 99.2
3.45,16241819,133.3,2040275, 99.8
3.45,16308863,133.4,2047718,101.0
3.45,16337888,133.6,2050188,101.6
3.70,16317624,134.3,2054500,101.3
3.70,16361894,134.2,2056138,100.8
3.70,16394455,133.7,2059567,101.0
