Jan 2002-Oct 2024,Value,Monthly Change,Yearly change,Indexed value
12907302,0.1,0.5,100.0
12977263,0.5,0.5,100.5
12973168,0.0,0.8,100.5
12987076,0.1,0.8,100.6
13026615,0.3,0.7,100.9
13063157,0.3,1.3,101.2
13116471,0.4,2.0,101.6
13212788,0.7,2.4,102.4
13188047,0.2,2.5,102.2
13186041,0.0,2.3,102.2
13222418,0.3,2.7,102.4
13216568,0.0,2.5,102.4
13260282,0.3,2.7,102.7
13258947,0.0,2.2,102.7
13323306,0.5,2.7,103.2
13300218,0.2,2.4,103.0
13313730,0.1,2.2,103.1
13335533,0.2,2.1,103.3
13317528,0.1,1.5,103.2
13322913,0.0,0.8,103.2
13308290,0.1,0.9,103.1
13354201,0.3,1.3,103.5
13357045,0.0,1.0,103.5
13354370,0.0,1.0,103.5
13387383,0.2,1.0,103.7
13340228,0.4,0.6,103.4
13392295,0.4,0.5,103.8
13439916,0.4,1.1,104.1
13462960,0.2,1.1,104.3
13465160,0.0,1.0,104.3
13520895,0.4,1.5,104.8
13461771,0.4,1.0,104.3
13519241,0.4,1.6,104.7
13533250,0.1,1.3,104.8
13523880,0.1,1.2,104.8
13579833,0.4,1.7,105.2
13562318,0.1,1.3,105.1
13589500,0.2,1.9,105.3
13594668,0.0,1.5,105.3
13631691,0.3,1.4,105.6
13622705,0.1,1.2,105.5
13668900,0.3,1.5,105.9
13694636,0.2,1.3,106.1
13732022,0.3,2.0,106.4
13762749,0.2,1.8,106.6
13781253,0.1,1.8,106.8
13824431,0.3,2.2,107.1
13861882,0.3,2.1,107.4
13922770,0.4,2.7,107.9
13980076,0.4,2.9,108.3
14007015,0.2,3.0,108.5
14034444,0.2,3.0,108.7
14058579,0.2,3.2,108.9
14083860,0.2,3.0,109.1
14068519,0.1,2.7,109.0
14076740,0.1,2.5,109.1
14116784,0.3,2.6,109.4
14079425,0.3,2.2,109.1
14209013,0.9,2.8,110.1
14209455,0.0,2.5,110.1
14250058,0.3,2.4,110.4
14282523,0.2,2.2,110.7
14293539,0.1,2.0,110.7
14299912,0.0,1.9,110.8
14358659,0.4,2.1,111.2
14381801,0.2,2.1,111.4
14406170,0.2,2.4,111.6
14478752,0.5,2.9,112.2
14480900,0.0,2.6,112.2
14524844,0.3,3.2,112.5
14509290,0.1,2.1,112.4
14503015,0.0,2.1,112.4
14598924,0.7,2.4,113.1
14577601,0.1,2.1,112.9
14619559,0.3,2.3,113.3
14667016,0.3,2.6,113.6
14695740,0.2,2.3,113.9
14708296,0.1,2.3,114.0
14704290,0.0,2.1,113.9
14742927,0.3,1.8,114.2
14727185,0.1,1.7,114.1
14739059,0.1,1.5,114.2
14670815,0.5,1.1,113.7
14622350,0.3,0.8,113.3
14535832,0.6,0.4,112.6
14502900,0.2,0.5,112.4
14432188,0.5,1.3,111.8
14382808,0.3,1.9,111.4
14363966,0.1,2.3,111.3
14333110,0.2,2.6,111.0
14364733,0.2,2.3,111.3
14283092,0.6,3.1,110.7
14314643,0.2,2.8,110.9
14336328,0.2,2.7,111.1
14360557,0.2,2.1,111.3
14374230,0.1,1.7,111.4
14380938,0.0,1.1,111.4
14401914,0.1,0.7,111.6
14419449,0.1,0.1,111.7
14443934,0.2,0.4,111.9
14435958,0.1,0.5,111.8
14455304,0.1,0.9,112.0
14506360,0.4,1.0,112.4
14475308,0.2,1.3,112.1
14512370,0.3,1.4,112.4
14540208,0.2,1.4,112.7
14544117,0.0,1.3,112.7
14601090,0.4,1.6,113.1
14614539,0.1,1.6,113.2
14654397,0.3,1.8,113.5
14674888,0.1,1.8,113.7
14691423,0.1,1.7,113.8
14650020,0.3,1.5,113.5
14709181,0.4,1.8,114.0
14711567,0.0,1.4,114.0
14713518,0.0,1.6,114.0
14754414,0.3,1.7,114.3
14752380,0.0,1.5,114.3
14803126,0.3,1.8,114.7
14815763,0.1,1.5,114.8
14834658,0.1,1.5,114.9
14842613,0.1,1.3,115.0
14880515,0.3,1.4,115.3
14928715,0.3,1.6,115.7
14988650,0.4,2.3,116.1
15002346,0.1,2.0,116.2
15008330,0.0,2.0,116.3
15048803,0.3,2.3,116.6
15048458,0.0,2.0,116.6
15034010,0.1,1.9,116.5
15077446,0.3,1.9,116.8
15057304,0.1,1.6,116.7
15089401,0.2,1.7,116.9
15134700,0.3,2.0,117.3
15172619,0.3,2.0,117.6
15175324,0.0,1.7,117.6
15158797,0.1,1.1,117.4
15132640,0.2,0.9,117.2
15184822,0.3,1.2,117.6
15259473,0.5,1.4,118.2
15242515,0.1,1.3,118.1
15269938,0.2,1.6,118.3
15275659,0.0,1.3,118.3
15282614,0.0,1.5,118.4
15303733,0.1,1.4,118.6
15313104,0.1,1.2,118.6
15335212,0.1,1.1,118.8
15324509,0.1,1.0,118.7
15386948,0.4,1.5,119.2
15406606,0.1,1.8,119.4
15438786,0.2,1.7,119.6
15474888,0.2,1.4,119.9
15458716,0.1,1.4,119.8
15479266,0.1,1.4,119.9
15457532,0.1,1.2,119.8
15460735,0.0,1.2,119.8
15509496,0.3,1.3,120.2
15506747,0.0,1.3,120.1
15502098,0.0,1.1,120.1
15540006,0.2,1.4,120.4
15557356,0.1,1.1,120.5
15529627,0.2,0.8,120.3
15558622,0.2,0.8,120.5
15524686,0.2,0.3,120.3
15542239,0.1,0.5,120.4
15594406,0.3,0.7,120.8
15578974,0.1,0.8,120.7
15601475,0.1,0.9,120.9
15603357,0.0,0.6,120.9
15589850,0.1,0.5,120.8
15618512,0.2,0.8,121.0
15667926,0.3,0.8,121.4
15664311,0.0,0.7,121.4
15704423,0.3,1.1,121.7
15698459,0.0,0.9,121.6
15682803,0.1,1.0,121.5
15742713,0.4,1.3,122.0
15747469,0.0,1.0,122.0
15782077,0.2,1.3,122.3
15833466,0.3,1.5,122.7
15823605,0.1,1.4,122.6
15877943,0.3,1.8,123.0
15873136,0.0,1.6,123.0
15893736,0.1,1.4,123.1
15920446,0.2,1.6,123.3
16006894,0.5,1.9,124.0
16016009,0.1,2.0,124.1
16062744,0.3,2.4,124.4
16094798,0.2,2.2,124.7
16075014,0.1,2.1,124.5
16091352,0.1,2.0,124.7
16135526,0.3,1.9,125.0
16141464,0.0,2.0,125.1
16187322,0.3,1.9,125.4
16240028,0.3,2.3,125.8
16241819,0.0,2.2,125.8
16308863,0.4,2.4,126.4
16337888,0.2,2.1,126.6
16317624,0.1,1.9,126.4
16361894,0.3,1.9,126.8
16394455,0.2,1.9,127.0
16437606,0.3,2.3,127.4
16534929,0.6,2.8,128.1
16519015,0.1,2.4,128.0
16588646,0.4,2.8,128.5
16631640,0.3,2.7,128.9
16643712,0.1,2.5,128.9
16642473,0.0,2.5,128.9
16679769,0.2,2.3,129.2
16693959,0.1,2.2,129.3
16749996,0.3,2.6,129.8
16762864,0.1,2.5,129.9
16753014,0.1,2.2,129.8
16758661,0.0,2.0,129.8
16777213,0.1,1.5,130.0
16782972,0.0,1.6,130.0
16820525,0.2,1.4,130.3
16801820,0.1,1.0,130.2
15854084,5.6,4.7,122.8
14021859,1.6,5.7,108.6
13542230,3.4,8.8,104.9
14169655,4.6,5.1,109.8
14891584,5.1,1.1,115.4
15208042,2.1,9.3,117.8
15529775,2.1,7.3,120.3
15708322,1.1,6.3,121.7
15693134,0.1,6.5,121.6
15729199,0.2,6.3,121.9
15599583,0.8,7.3,120.9
15666667,0.4,6.8,121.4
15906060,1.5,0.3,123.2
16026001,0.8,4.3,124.2
15804156,1.4,6.7,122.4
16012756,1.3,3.0,124.1
16311808,1.9,9.5,126.4
16401931,0.6,7.9,127.1
16471655,0.4,6.1,127.6
16588914,0.7,5.6,128.5
16663711,0.5,6.2,129.1
16763760,0.6,6.6,129.9
16752769,0.1,7.4,129.8
16866960,0.7,7.7,130.7
16995210,0.8,6.8,131.7
17105266,0.6,6.7,132.5
17099430,0.0,8.2,132.5
17195588,0.6,7.4,133.2
17240786,0.3,5.7,133.6
17258279,0.1,5.2,133.7
17327320,0.4,5.2,134.2
17347881,0.1,4.6,134.4
17419367,0.4,4.5,135.0
17482151,0.4,4.3,135.4
17534970,0.3,4.7,135.9
17582997,0.3,4.2,136.2
17579049,0.0,3.4,136.2
17506457,0.4,2.3,135.6
17657047,0.9,3.3,136.8
17687247,0.2,2.9,137.0
17685991,0.0,2.6,137.0
17695010,0.1,2.5,137.1
17729475,0.2,2.3,137.4
17716440,0.1,2.1,137.3
17654209,0.4,1.3,136.8
17703758,0.3,1.3,137.2
17746729,0.2,1.2,137.5
17763653,0.1,1.0,137.6
17794949,0.2,1.2,137.9
17810851,0.1,1.7,138.0
17845344,0.2,1.1,138.3
17816461,0.2,0.7,138.0
17849215,0.2,0.9,138.3
17877140,0.2,1.0,138.5
17849754,0.2,0.7,138.3
17835797,0.1,0.7,138.2
