observation_date,MEDCPIM158SFRBCLE
2002-01-01,2.76158967150149026
2002-02-01,3.38352407504046004
2002-03-01,2.87262142303709966
2002-04-01,2.67648214481753000
2002-05-01,2.42019843819256986
2002-06-01,2.50253319887129999
2002-07-01,2.24505523113134009
2002-08-01,2.28572177593908998
2002-09-01,2.71779789775747993
2002-10-01,2.31390307533893980
2002-11-01,1.91097600745183049
2002-12-01,3.01261428455381974
2003-01-01,2.18139042769815994
2003-02-01,1.97583023449681039
2003-03-01,1.12621180925948994
2003-04-01,0.55303689047201399
2003-05-01,1.07578818642804008
2003-06-01,1.12305963544220999
2003-07-01,2.67107312265710961
2003-08-01,2.35741426924818009
2003-09-01,2.02226514469577001
2003-10-01,2.09586749439761011
2003-11-01,1.18636241164811018
2003-12-01,1.79882233944806003
2004-01-01,2.22007470598395029
2004-02-01,2.91265455346974012
2004-03-01,2.73440226821978971
2004-04-01,2.53838192695393028
2004-05-01,3.21749489052706972
2004-06-01,2.72493144884724980
2004-07-01,1.77113695955513006
2004-08-01,2.87323745174035006
2004-09-01,2.14663499527530011
2004-10-01,2.66050109372762034
2004-11-01,1.48006630553789997
2004-12-01,1.91524972608855992
2005-01-01,3.42175913634541029
2005-02-01,3.30400229074103979
2005-03-01,1.89717939501216959
2005-04-01,2.09647901335651987
2005-05-01,3.16846235161855994
2005-06-01,1.62477538920178000
2005-07-01,3.02864557347464025
2005-08-01,2.22215620270876002
2005-09-01,4.02470724061161000
2005-10-01,3.33157515598618970
2005-11-01,2.83691194814225955
2005-12-01,2.20489319920400995
2006-01-01,2.88432186623886011
2006-02-01,2.07202087371556010
2006-03-01,3.08218251360962991
2006-04-01,2.88703161651259999
2006-05-01,4.28816068458392952
2006-06-01,3.19983083499134002
2006-07-01,3.05393052415283961
2006-08-01,4.62137039677920924
2006-09-01,2.10626377333666959
2006-10-01,3.65069704001577033
2006-11-01,3.02469916751934997
2006-12-01,2.72554654380133021
2007-01-01,2.96441026316891953
2007-02-01,4.44702564001934952
2007-03-01,2.68853112184252963
2007-04-01,2.36832536836802010
2007-05-01,2.35349143799752003
2007-06-01,3.26803173677304049
2007-07-01,2.82817098511783005
2007-08-01,2.18457280462695991
2007-09-01,3.70440600770083028
2007-10-01,3.43463052089827015
2007-11-01,3.47535935275699970
2007-12-01,2.98265388398263998
2008-01-01,3.28360527628441989
2008-02-01,2.85747436326564008
2008-03-01,3.04048574612399047
2008-04-01,2.24101388446511995
2008-05-01,2.46276928959309993
2008-06-01,4.05370089545272005
2008-07-01,3.98912873927891987
2008-08-01,2.94013128490127018
2008-09-01,3.17438970761372019
2008-10-01,2.20171024216991018
2008-11-01,1.93625366578525004
2008-12-01,0.36348415080054208
2009-01-01,2.40364062502631981
2009-02-01,2.14357605719473021
2009-03-01,1.90828983085517989
2009-04-01,1.86117019943738993
2009-05-01,1.29376893720740993
2009-06-01,0.75584590889346004
2009-07-01,0.12583251339235399
2009-08-01,1.62550610790990002
2009-09-01,0.91436978353358600
2009-10-01,1.19036541881350000
2009-11-01,0.51601642131349201
2009-12-01,0.46081040984140598
2010-01-01,0.68011084594070703
2010-02-01,-0.10662785426794889
2010-03-01,-0.28606424629804600
2010-04-01,0.45261625417847290
2010-05-01,0.27574788971957997
2010-06-01,1.26475267675238978
2010-07-01,0.63230506844271805
2010-08-01,0.43020593403721991
2010-09-01,1.53627227687154000
2010-10-01,1.12609057107202015
2010-11-01,1.31829898066591000
2010-12-01,1.39338028075399989
2011-01-01,2.27322625990495997
2011-02-01,2.81696889792589023
2011-03-01,1.74418998266394998
2011-04-01,2.24921919600375997
2011-05-01,2.30581553962389973
2011-06-01,1.92672807632472010
2011-07-01,2.53703137566649994
2011-08-01,3.17797077169900932
2011-09-01,2.49197707942445978
2011-10-01,2.02226514469577001
2011-11-01,1.84701379887521999
2011-12-01,2.37433305779156001
2012-01-01,3.19808928450254015
2012-02-01,1.68455191336783017
2012-03-01,2.42029632056173005
2012-04-01,2.28513384278916964
2012-05-01,1.73207207221012971
2012-06-01,1.92206327761143991
2012-07-01,2.08371119432122009
2012-08-01,2.42386601913445032
